date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:55:14	5380/5380	---M--	200	added ('OK')	image/jpeg	etag:%22f956afceab64d51:0%22	http://www.basantrubber.net/images/products/civil.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/products/civil.jpg	(from http://www.basantrubber.net/)
19:55:15	6147/6147	---M--	200	added ('OK')	image/jpeg	etag:%2281e020d0ab64d51:0%22	http://www.basantrubber.net/images/products/marine.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/products/marine.jpg	(from http://www.basantrubber.net/)
19:55:15	6363/6363	---M--	200	added ('OK')	image/jpeg	etag:%222ac556d9ab64d51:0%22	http://www.basantrubber.net/images/products/rubber-hoses.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/products/rubber-hoses.jpg	(from http://www.basantrubber.net/)
19:55:16	8617/8617	---M--	200	added ('OK')	image/jpeg	etag:%229dbf10daab64d51:0%22	http://www.basantrubber.net/images/products/rubber-profiles.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/products/rubber-profiles.jpg	(from http://www.basantrubber.net/)
19:55:17	8850/8850	---M--	200	added ('OK')	image/jpeg	etag:%22ff4b69cfab64d51:0%22	http://www.basantrubber.net/images/products/industrial.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/products/industrial.jpg	(from http://www.basantrubber.net/)
19:55:21	25766/25766	---M--	200	added ('OK')	image/jpeg	etag:%2245649c32c988d51:0%22	http://www.basantrubber.net/images/clients/bp.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/clients/bp.jpg	(from http://www.basantrubber.net/)
19:55:21	32714/32714	---M--	200	added ('OK')	image/jpeg	etag:%224f812d36c988d51:0%22	http://www.basantrubber.net/images/clients/ir.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/clients/ir.jpg	(from http://www.basantrubber.net/)
19:55:21	22819/22819	---M--	200	added ('OK')	image/jpeg	etag:%2270c26334c988d51:0%22	http://www.basantrubber.net/images/clients/hp.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/clients/hp.jpg	(from http://www.basantrubber.net/)
19:55:25	23684/23684	---M--	200	added ('OK')	image/jpeg	etag:%224b44b35c988d51:0%22	http://www.basantrubber.net/images/clients/io.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/clients/io.jpg	(from http://www.basantrubber.net/)
19:55:28	31146/31146	---M--	200	added ('OK')	image/jpeg	etag:%22d2e07e33c988d51:0%22	http://www.basantrubber.net/images/clients/dlw.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/clients/dlw.jpg	(from http://www.basantrubber.net/)
19:55:29	13940/13940	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:25:28%20GMT	http://www.basantrubber.net/products/railwayslocomotives	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/products/railwayslocomotives-2.html	(from http://www.basantrubber.net/)
19:55:29	36113/36113	---M--	200	added ('OK')	image/jpeg	etag:%22cfdb6235c988d51:0%22	http://www.basantrubber.net/images/clients/clw.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/clients/clw.jpg	(from http://www.basantrubber.net/)
19:55:30	13163/13163	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:25:29%20GMT	http://www.basantrubber.net/more/ourclients	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/more/ourclients-2.html	(from http://www.basantrubber.net/)
19:55:31	18513/18513	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2014:25:29%20GMT	http://www.basantrubber.net/more/careers	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/more/careers-2.html	(from http://www.basantrubber.net/)
